Timestamp,¿Que día/horarios te conviene? [Lunes],¿Que día/horarios te conviene? [Martes],¿Que día/horarios te conviene? [Miercoles],¿Que día/horarios te conviene? [Jueves],¿Que día/horarios te conviene? [Viernes],¿Cuantos sabes de programación?,¿Tenes algún tema o librería en particular que te gustaría aprender?(esta pregunta es opcional)
01/04/2020 13:45:31,Ninguna,Tarde(1330-1630),Ninguna,Tarde(1330-1630),Ninguna,3,
01/04/2020 13:47:41,"Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)",3,
01/04/2020 14:04:19,Noche(1730-2030),Noche(1730-2030),Ninguna,Noche(1730-2030),"Mañana(1030-1330), Tarde(1330-1630)",2,
01/04/2020 14:21:19,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",2,
01/04/2020 14:31:49,"Mañana(1030-1330), Noche(1730-2030)",Noche(1730-2030),Ninguna,Mañana(1030-1330),Ninguna,1,
01/04/2020 14:34:02,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),1,
01/04/2020 14:35:57,"Tarde(1330-1630), Noche(1730-2030)",Ninguna,"Mañana(1030-1330), Tarde(1330-1630)",Mañana(1030-1330),Ninguna,1,
01/04/2020 14:42:09,Ninguna,"Tarde(1330-1630), Noche(1730-2030)","Tarde(1330-1630), Noche(1730-2030)",Ninguna,"Tarde(1330-1630), Noche(1730-2030)",3,
01/04/2020 14:43:20,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),1,Análisis estadísticos y gráficos
01/04/2020 14:45:42,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),2,Machine learning
01/04/2020 14:53:27,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),4,
01/04/2020 14:59:05,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),1,
01/04/2020 15:08:23,Tarde(1330-1630),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Tarde(1330-1630),3,
01/04/2020 15:29:38,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),4,
01/04/2020 15:39:18,Noche(1730-2030),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",Noche(1730-2030),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",2,
01/04/2020 15:49:05,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",Ninguna,Tarde(1330-1630),Ninguna,"Tarde(1330-1630), Noche(1730-2030)",1,
01/04/2020 15:55:30,"Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)",2,
01/04/2020 16:10:48,"Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)",2,
01/04/2020 16:14:11,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),1,"En lo personal, me gustaría aprender a trabajar con bases de datos (relacionando, además de números, nombres, cosas, etc.)"
01/04/2020 16:19:01,"Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)",1,
01/04/2020 16:19:29,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),5,
01/04/2020 16:29:33,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",Ninguna,Noche(1730-2030),Ninguna,Ninguna,1,
01/04/2020 16:42:10,Ninguna,Ninguna,Mañana(1030-1330),Ninguna,Ninguna,6,
01/04/2020 17:23:39,Tarde(1330-1630),Mañana(1030-1330),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),1,
01/04/2020 17:48:12,Ninguna,Mañana(1030-1330),Ninguna,Mañana(1030-1330),Tarde(1330-1630),6,
01/04/2020 18:22:22,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),3,
01/04/2020 18:24:39,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Noche(1730-2030),Mañana(1030-1330),1,
01/04/2020 18:59:52,Ninguna,Tarde(1330-1630),Ninguna,Tarde(1330-1630),Ninguna,4,
01/04/2020 19:06:56,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",2,
01/04/2020 19:08:07,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Tarde(1330-1630), Noche(1730-2030)",2,
01/04/2020 19:08:19,Noche(1730-2030),Noche(1730-2030),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",Noche(1730-2030),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",1,
01/04/2020 19:08:43,Noche(1730-2030),Noche(1730-2030),"Tarde(1330-1630), Noche(1730-2030)","Tarde(1330-1630), Noche(1730-2030)",Tarde(1330-1630),5,Ecología
01/04/2020 19:13:15,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),2,
01/04/2020 20:11:06,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),1,
01/04/2020 20:20:50,Ninguna,"Mañana(1030-1330), Tarde(1330-1630)",Ninguna,Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630)",1,
01/04/2020 20:20:30,Noche(1730-2030),Noche(1730-2030),Mañana(1030-1330),Noche(1730-2030),Noche(1730-2030),4,
01/04/2020 20:43:42,Noche(1730-2030),Noche(1730-2030),Ninguna,Noche(1730-2030),Noche(1730-2030),2,
01/04/2020 21:18:17,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),2,
01/04/2020 21:23:12,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),2,
01/04/2020 21:29:49,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),1,
01/04/2020 21:31:27,"Mañana(1030-1330), Tarde(1330-1630)",Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630)",Ninguna,Ninguna,1,
01/04/2020 21:47:34,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),3,
01/04/2020 22:19:01,Mañana(1030-1330),Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630)",Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630)",1,
01/04/2020 22:57:48,"Mañana(1030-1330), Noche(1730-2030)","Mañana(1030-1330), Noche(1730-2030)","Mañana(1030-1330), Noche(1730-2030)","Mañana(1030-1330), Noche(1730-2030)","Mañana(1030-1330), Noche(1730-2030)",2,
01/04/2020 23:13:19,Ninguna,Tarde(1330-1630),"Mañana(1030-1330), Tarde(1330-1630)",Ninguna,"Mañana(1030-1330), Tarde(1330-1630)",1,
01/04/2020 23:22:27,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",Ninguna,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",Ninguna,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",4,
01/04/2020 23:26:19,"Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630)",1,
01/04/2020 23:37:41,Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630)",Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630)",Mañana(1030-1330),4,"Pandas, matplotlib y scikit-learn"
02/04/2020 00:06:06,Noche(1730-2030),Ninguna,Noche(1730-2030),Ninguna,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",3,
02/04/2020 00:16:03,Ninguna,Noche(1730-2030),Ninguna,Noche(1730-2030),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",1,
02/04/2020 03:40:22,"Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)",7,
02/04/2020 04:12:46,"Mañana(1030-1330), Noche(1730-2030)","Mañana(1030-1330), Noche(1730-2030)","Mañana(1030-1330), Noche(1730-2030)","Mañana(1030-1330), Noche(1730-2030)","Mañana(1030-1330), Noche(1730-2030)",1,
02/04/2020 04:25:40,"Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)",1,Html
02/04/2020 10:54:04,"Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)",5,genomica
02/04/2020 10:54:50,Ninguna,Noche(1730-2030),Noche(1730-2030),Ninguna,Noche(1730-2030),1,
02/04/2020 11:45:36,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,1,
02/04/2020 12:09:01,Mañana(1030-1330),Ninguna,Ninguna,Ninguna,Mañana(1030-1330),1,
02/04/2020 12:12:32,"Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",1,
02/04/2020 12:34:15,"Mañana(1030-1330), Tarde(1330-1630)",Ninguna,"Mañana(1030-1330), Tarde(1330-1630)",Ninguna,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",2,numpy
02/04/2020 13:14:37,Mañana(1030-1330),"Mañana(1030-1330), Noche(1730-2030)","Mañana(1030-1330), Noche(1730-2030)","Mañana(1030-1330), Noche(1730-2030)","Mañana(1030-1330), Noche(1730-2030)",4,libreria:QIIME2 / tema:ecologia y modelado 
02/04/2020 13:36:02,Ninguna,Mañana(1030-1330),Mañana(1030-1330),Ninguna,Tarde(1330-1630),1,
02/04/2020 13:53:23,Ninguna,"Tarde(1330-1630), Noche(1730-2030)",Ninguna,Ninguna,Ninguna,2,
02/04/2020 14:01:51,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),3,
02/04/2020 14:10:59,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",Noche(1730-2030),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",1,
02/04/2020 16:30:16,"Tarde(1330-1630), Noche(1730-2030)",Ninguna,Tarde(1330-1630),Ninguna,"Mañana(1030-1330), Tarde(1330-1630)",1,
02/04/2020 16:57:57,Tarde(1330-1630),"Tarde(1330-1630), Noche(1730-2030)",Tarde(1330-1630),Ninguna,Ninguna,1,
02/04/2020 17:10:40,"Tarde(1330-1630), Noche(1730-2030)","Tarde(1330-1630), Noche(1730-2030)","Tarde(1330-1630), Noche(1730-2030)","Tarde(1330-1630), Noche(1730-2030)","Tarde(1330-1630), Noche(1730-2030)",1,
02/04/2020 17:54:39,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),4,
03/04/2020 12:14:18,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),5,
02/04/2020 18:19:17,Tarde(1330-1630),Mañana(1030-1330),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),1,
02/04/2020 20:13:32,"Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630)",Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",2,
02/04/2020 20:47:43,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),1,
02/04/2020 20:35:51,Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",Mañana(1030-1330),Ninguna,Mañana(1030-1330),2,
03/04/2020 01:22:59,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),2,
03/04/2020 06:11:11,Mañana(1030-1330),Tarde(1330-1630),Mañana(1030-1330),Tarde(1330-1630),Mañana(1030-1330),1,
03/04/2020 10:44:13,Mañana(1030-1330),Ninguna,Mañana(1030-1330),Ninguna,Mañana(1030-1330),2,
03/04/2020 11:45:03,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Mañana(1030-1330),3,
03/04/2020 11:47:59,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",5,
03/04/2020 13:36:20,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Tarde(1330-1630),3,"Procesado de datos de laboratorio, mas precisamente espectros"
03/04/2020 14:12:20,Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),Noche(1730-2030),6,
03/04/2020 18:17:11,Ninguna,"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",3,Aplicaciones de Python en biología 
03/04/2020 23:53:30,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),1,
04/04/2020 07:55:21,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),1,
04/04/2020 09:55:16,Ninguna,Tarde(1330-1630),Tarde(1330-1630),Tarde(1330-1630),Ninguna,1,
04/04/2020 13:35:21,Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),Mañana(1030-1330),2,
04/04/2020 13:40:15,Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630)",Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630)",Mañana(1030-1330),1,
04/04/2020 14:20:55,Mañana(1030-1330),"Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)","Mañana(1030-1330), Tarde(1330-1630)","Mañana(1030-1330), Tarde(1330-1630), Noche(1730-2030)",Mañana(1030-1330),1,
